"ID","Origin","Destination","Drive_Time"
"MA31_MA17","MA31","MA17",2707.75211553799
"MA70_MA17","MA70","MA17",3142.85696712233
"MA90_MA17","MA90","MA17",2358.54389718182
"MA93_MA17","MA93","MA17",4392.23523711146
"MA96_MA17","MA96","MA17",3836.94900585947
"MA17_MA31","MA17","MA31",2707.75211553799
"MA70_MA31","MA70","MA31",3353.1255410463
"MA90_MA31","MA90","MA31",1100.72688366075
"MA93_MA31","MA93","MA31",3871.34554072228
"MA96_MA31","MA96","MA31",3753.24011815465
"MA17_MA70","MA17","MA70",3142.85696712233
"MA31_MA70","MA31","MA70",3353.1255410463
"MA90_MA70","MA90","MA70",3341.01904487104
"MA93_MA70","MA93","MA70",1936.37300218926
"MA96_MA70","MA96","MA70",1217.45891583574
"MA97_MA84","MA97","MA84",1176.88186219788
"MA17_MA90","MA17","MA90",2358.54389718182
"MA31_MA90","MA31","MA90",1100.72688366075
"MA70_MA90","MA70","MA90",3341.01904487104
"MA93_MA90","MA93","MA90",4025.63549037105
"MA96_MA90","MA96","MA90",3816.60631045156
"MA17_MA93","MA17","MA93",4392.23523711146
"MA31_MA93","MA31","MA93",3871.34554072228
"MA70_MA93","MA70","MA93",1936.37300218926
"MA90_MA93","MA90","MA93",4025.63549037105
"MA96_MA93","MA96","MA93",1304.21198903697
"MA17_MA96","MA17","MA96",3836.94900585947
"MA31_MA96","MA31","MA96",3753.24011815465
"MA70_MA96","MA70","MA96",1217.45891583574
"MA90_MA96","MA90","MA96",3816.60631045156
"MA93_MA96","MA93","MA96",1304.21198903697
"MA84_MA97","MA84","MA97",1176.88186219788
